prioridade,palavra-chave,intencao,cluster,dificuldade_0_100,sinais_observados_na_serp,procura_estimada,nota_editorial
1,suspiro fisiologico como fazer,informacional,C - Panico e corpo em alerta,10,"Praticamente nada em pt-PT. Tema conhecido em ingles (physiological sigh) e ainda por traduzir. Sem site portugues a ocupar.",baixa mas crescente,"QUICK WIN. Ja e' mencionado no artigo das 3h e no da tecnica militar - o artigo proprio fecha a ligacao interna."
2,acordar as 3 da manha,informacional,A - Despertar de madrugada,12,"6 resultados: 4 brasileiros (Correio Braziliense, O Antagonista, Eu Sem Fronteiras, Tua Saude) e 2 completamente irrelevantes (um substack sobre acordar cedo, uma pagina de flashcards). Zero resultados portugueses. Zero sites de saude com autoridade.",alta,"QUICK WIN e peca de abertura do pilar. O conteudo BR especula sobre tiroide e glicose sem fonte - um artigo com fontes primarias ganha por diferenca."
3,despejo mental antes de dormir,informacional,B - A cabeca que nao desliga,12,"Termo quase inexistente em pt-PT. O conceito (brain dump) aparece so' dentro de listas de dicas, nunca como artigo proprio.",baixa,"QUICK WIN. Tecnica pura, zero risco editorial, facil de testar em si proprio e registar."
4,acordar as 4 da manha todos os dias,informacional,A - Despertar de madrugada,14,"Mesmo padrao da consulta das 3h: conteudo brasileiro e paginas de horoscopo/espiritualidade a ocupar espaco.",media,"Variante da mesma intencao. Cobrir dentro do artigo das 3h, nao em artigo separado - evita canibalizacao."
5,porque acordo sempre a mesma hora de madrugada,informacional,A - Despertar de madrugada,15,"SERP partilhada com 'acordar as 3 da manha'. Mesmos dominios brasileiros.",media,"Mesma pagina que a 2. Usar como H2 e como pergunta no FAQ."
6,controlo de estimulos insonia,informacional,B - A cabeca que nao desliga,15,"Termo tecnico de TCC-I sem cobertura em pt-PT. So' aparece em PDFs academicos do RCAAP.",baixa,"QUICK WIN de autoridade. E' a base do 'levante-se ao fim de 20 minutos' - da profundidade ao cluster."
7,acordar de madrugada e nao voltar a adormecer,informacional,A - Despertar de madrugada,18,"Sobreposicao forte com a consulta das 3h. Tua Saude domina.",alta,"A dor real, escrita como a pessoa a sente. Bom candidato a titulo do artigo principal do pilar."
8,o que fazer quando nao consigo adormecer,informacional,B - A cabeca que nao desliga,18,"Respostas dispersas em listas de dicas. Nenhuma pagina dedicada ao momento agudo.",alta,"Intencao de emergencia: quem procura isto esta acordado agora. Exige resposta-primeiro muito curta."
9,terapia cognitivo comportamental para a insonia em Portugal,informacional,D - Ansiedade noturna,20,"Cobertura clinica e academica, nenhuma pagina que explique ao doente como aceder em Portugal.",baixa,"ALTO VALOR. E' o tratamento nao-farmacologico com evidencia. Angulo PT: acesso pelo SNS e' escasso - dizer isso e' util e verdadeiro."
10,alcool acorda a meio da noite,informacional,A - Despertar de madrugada,20,"Coberto de passagem em artigos genericos, sem peca dedicada em pt-PT.",media,"Tecnica e comportamental, dentro da linha editorial. Nao e' 'substancia' no sentido de suplemento."
11,ruminacao antes de dormir como parar,informacional,B - A cabeca que nao desliga,22,"Termo psicologico com alguma cobertura BR. Em PT so' colunas de opiniao.",media,"Cuidado com a fronteira clinica: manter em tecnicas, remeter o resto para o medico."
12,acordar em panico a meio da noite,informacional,C - Panico e corpo em alerta,24,"7 resultados: 5 brasileiros, 1 portugues (psicologo-online.pt), 1 YouTube e 1 Q&A de utilizadores (Doctoralia). Video e UGC na SERP sao sinal de fraqueza.",media,"RISCO YMYL. Sintomas cardiacos exigem encaminhamento medico explicito e cedo no texto."
13,acordar com o coracao acelerado de madrugada,informacional,C - Panico e corpo em alerta,26,"Tua Saude a especular sobre tensao arterial. Doctoralia (UGC) posicionada.",media,"RISCO YMYL ALTO. So' avancar com aviso claro: palpitacoes recorrentes vao ao medico, ponto."
14,pensamentos acelerados a noite,informacional,B - A cabeca que nao desliga,28,"Maioria BR. Em PT, uma coluna da Visao e uma peca da CNN Portugal - ambas opiniao, nenhuma recurso dedicado.",media,"O oposto do que os outros dizem: nao sao os pensamentos que impedem o sono, e' a falta de sono que abre espaco aos pensamentos. Angulo contra-intuitivo com fonte."
